Номер вопроса,Вопрос,Шкала,Оценка,Количество,Процент
D1_1,"Как вы оцениваете уровень ваших знаний и навыков, связанных с профессиональной управленческой деятельностью? ",До модуля,Идеально,4,0.03
D1_1,"Как вы оцениваете уровень ваших знаний и навыков, связанных с профессиональной управленческой деятельностью? ",До модуля,Нормально,21,0.17
D1_1,"Как вы оцениваете уровень ваших знаний и навыков, связанных с профессиональной управленческой деятельностью? ",До модуля,Требует улучшений,98,0.8
D1_1,"Как вы оцениваете уровень ваших знаний и навыков, связанных с профессиональной управленческой деятельностью? ",После модуля,Идеально,14,0.12
D1_1,"Как вы оцениваете уровень ваших знаний и навыков, связанных с профессиональной управленческой деятельностью? ",После модуля,Нормально,62,0.5
D1_1,"Как вы оцениваете уровень ваших знаний и навыков, связанных с профессиональной управленческой деятельностью? ",После модуля,Требует улучшений,47,0.38
D1_2,Как изменилось ваше понимание личных управленческих компетенций по результатам входной диагностики? ,Как изменилось ваше понимание личных управленческих компетенций по результатам входной диагностики? ,Идеально,34,0.27
D1_2,Как изменилось ваше понимание личных управленческих компетенций по результатам входной диагностики? ,Как изменилось ваше понимание личных управленческих компетенций по результатам входной диагностики? ,Нормально,52,0.42
D1_2,Как изменилось ваше понимание личных управленческих компетенций по результатам входной диагностики? ,Как изменилось ваше понимание личных управленческих компетенций по результатам входной диагностики? ,Требует улучшений,39,0.31
D1_3,"В какой степени участие в программе вдохновило вас на реализацию ваших идей, целей и мечтаний для будущего культуры России? ","В какой степени участие в программе вдохновило вас на реализацию ваших идей, целей и мечтаний для будущего культуры России? ",Идеально,83,0.66
D1_3,"В какой степени участие в программе вдохновило вас на реализацию ваших идей, целей и мечтаний для будущего культуры России? ","В какой степени участие в программе вдохновило вас на реализацию ваших идей, целей и мечтаний для будущего культуры России? ",Нормально,35,0.28
D1_3,"В какой степени участие в программе вдохновило вас на реализацию ваших идей, целей и мечтаний для будущего культуры России? ","В какой степени участие в программе вдохновило вас на реализацию ваших идей, целей и мечтаний для будущего культуры России? ",Требует улучшений,7,0.06
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Эмоциональное впечатление,Идеально,91,0.75
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Эмоциональное впечатление,Нормально,27,0.22
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Эмоциональное впечатление,Требует улучшений,4,0.03
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Интересный материал и подача,Идеально,88,0.79
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Интересный материал и подача,Нормально,19,0.17
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Интересный материал и подача,Требует улучшений,4,0.04
D1_4,"В. Данкин, (темы «Собираем российский экипаж: управленческие команды», «Впередсмотрящие по-русски», «Сверхзадачи экипажей», «Первооткрыватели и штурманы-первопроходцы. Создание и внедрение нового», «Сокровище из сундука – за границами сундука»)",Понятное изложение,Идеально,77,0.69
